Identifier,Date*,Submitter,District,Village AtsVillage Phin,Quality,Quantity,Accessibility,Reliability,FS,HH_user_#,Get_Water,RWS type,Extract BH,Extract DW,Extract SW,Distrib?,Distrib how,Distrib Pt #,Photo source,Get water,State extract,User type,In use,Why not,Owner,Resp org.,Funds,Age,Manager,Water payT,Photo Pt 1,Lat,Long,HH # user,Drink prop',Main - why drink,Main - Not drink,Month used,Month water enough,Photo_Pt2,Photo_Pt3,Photo_Pt4,Photo_Pt5
13qf-s0xp-3vq5,41886,__________,13 - 13 - Atsaphone,"13-XX-002-_______-""Pasomxay",2,2,2,,2,69,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/937d6afa-caf8-4a6b-bfc1-4c7afa2be72c.jpg,No,Works well,Community|School,Yes,,Community,National institution,National association,< 5 years,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/bf5ff8b6-d90e-4525-9883-1add79ad02d0.jpg,16.84118784,105.3284699,69,Nobody,,Not safe,12,0-4,,,,
3m59-n8f2-t78d,41886,_._____ _____________,13 - 13 - Atsaphone,"13-XX-001-____ __________-""Hatdokkeo",2,1,4,,1,3,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/4b0ab069-2d17-4c02-b6d0-bc5d6c936295.jpg,No,Works well,Community,Yes,,National institution,National institution,National association,5-Oct,National institution,No payment,https://akvoflow-34.s3.amazonaws.com/images/6ae1877a-64db-411c-96f6-eb2c3edb12ea.jpg,16.8495194,105.3183782,3,Nobody,,,12,0-4,,,,
3wvm-tpgy-kqmh,41886,_______,13 - 13 - Atsaphone,"13-01-006-____ _________-""Nahangnoi",5,5,4,,4,9,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/0015ba34-4752-4022-a1d8-a64420ca877c.jpg,No,Works well,Community,Yes,,National association,National association,National association,15-Oct,National association,Time,https://akvoflow-34.s3.amazonaws.com/images/7b1f13ff-f9b1-4156-8890-c419f4274c7d.jpg,16.89230451,105.373148,9,All,Safe,,12,12,,,,
41ne-3ymh-2n0v,41886,___ ________ _______,13 - 13 - Atsaphone,"13-XX-003-____ ________-""Phakkagna",2,2,4,,2,16,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/497f4d77-8202-4cf8-9f2f-3d17768d02af.jpg,No,Works well,Community,Yes,,Don't know,Don't know,Don't know,5-Oct,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/4a286eb8-0788-48f3-8f40-4d15427f50c2.jpg,16.85760701,105.3405112,16,Nobody,,,12,0-4,,,,
46pa-q0qj-kbdv,41886,_.____,13 - 13 - Atsaphone,"13-XX-003-____ ________-""Phakkagna",2,1,5,,1,1,0,BH,Motor pump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/66534234-f399-4916-a97c-7d4b032398d0.jpg,No,Doesn't work,__________,No,Not working,Nobody,National association,_________,5-Oct,National institution,No payment,https://akvoflow-34.s3.amazonaws.com/images/7888fe19-157c-4597-b902-83e23f79b2e1.jpg,16.85611262,105.3402105,1,Nobody,,,0-4,0-4,,,,
6mqe-cb3a-e3mq,41886,__________,13 - 13 - Atsaphone,"13-XX-002-_______-""Pasomxay",2,2,3,,2,6,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/c75e0a54-ca8c-4c6b-a2dd-716dab74b1fe.jpg,No,Works well,Community,Yes,,National association,Community,National association,5-Oct,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/8c02c8e2-1e40-42a9-808f-64e92e4e57f1.jpg,16.82827665,105.3320927,6,Nobody,,,12,0-4,,,,
7hrk-gmk3-k20y,41886,_. _________,13 - 13 - Atsaphone,"13-XX-001-____ __________-""Hatdokkeo",2,2,5,,2,1,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/f2aa5a21-f502-46c0-99ed-f83d7adc4c4b.jpg,No,Works well,School,Yes,,National institution,National institution,National institution,>20,_____________________,Community box,https://akvoflow-34.s3.amazonaws.com/images/b57a1edd-b8bc-4a27-8583-4153703a2fc8.jpg,16.85065115,105.327879,1,Nobody,,,12,0-4,,,,
7k20-r4xt-m750,41886,__________,13 - 13 - Atsaphone,"13-XX-002-_______-""Pasomxay",2,2,3,,2,1,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/be1172c7-96ea-4fc9-81f3-821bc3d3ff23.jpg,No,Works well,School,Yes,,National association,National association,National association,15-20,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/35f6078b-9748-4a49-a280-bbe6b20d5abd.jpg,16.83152079,105.327474,1,Few,Good colour,,12,0-4,,,,
7ktn-fmqk-wy3r,41886,_._____,13 - 13 - Atsaphone,"13-01-004-____ ________-""Nondern",2,2,4,,2,15,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/c0a97287-e01c-4913-a86d-317b01d164b2.jpg,No,Works well,Community,Yes,,National institution,Community,International institution,5-Oct,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/25b97a45-ad86-4d87-ba08-13cbf55d61dd.jpg,16.870368,105.3396758,15,Nobody,,,12,0-4,,,,
8nv2-xwmw-tq3y,41886,_.____,13 - 13 - Atsaphone,"13-XX-003-____ ________-""Phakkagna",5,2,5,,2,0,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/70064d6b-ae8f-493a-8fd3-0f7cd57aa428.jpg,No,Doesn't work,School,No,Not working,National association,National association,National association,15-20,National association,No payment,https://akvoflow-34.s3.amazonaws.com/images/9e9f6bbd-3ea1-4349-998a-c84e1ec437ad.jpg,16.8614588,105.3347408,,Nobody,,,12,12,,,,
