Instance,Submission Date,Submitter,Duration,District,Kumban,Village,DELETED - Village Phin,Source type,RWS type,Extract BH,Extract DW,Extract SW,Distrib?,Distrib how,Distrib Pt #,Photo source,Get water,State extract,Yield (s),Women user,Men,User type,In use,Why not,Owner,Resp org.,Funds,Age,Manager,Water payT,Name RWS,Photo Pt 1,Lat,Lon,Elev,Geo code,Functionality,Quantity,Quality,Accessibility,Reliability,Photo of Source
290920,11-09-2014 12:21:20 UTC,____. ______,0:11:51,Atsaphone,Judsumphonengarm,"13-XX-030-????????-""Tatkhadaeng",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/872d39e1-2fd8-4a00-aa60-74285da7e5d0.jpg,Yes,Works well,50,3,5,Community,Yes,,Community,International NGO,International NGO,< 5,Community,When break down,________ _ ____,https://akvoflow-34.s3.amazonaws.com/images/c37c54e7-9fe0-4ab1-8f24-408234d2134d.jpg,16.92955958,105.1491516,172.9,601btl61v,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/872d39e1-2fd8-4a00-aa60-74285da7e5d0.jpg
290965,12-09-2014 02:47:33 UTC,_ ________,0:16:37,Atsaphone,Kumban 02,"13-02-010-???? ??????????-""Dongwaidin",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/6136a25b-767b-41ba-b72d-aee6d1c6b999.jpg,Yes,Works well,15,8,1,Community|Wat,Yes,,Community,International NGO,International NGO,5 to 10,Community,When break down,___,https://akvoflow-34.s3.amazonaws.com/images/131e41c7-8e14-4482-bf0c-4bd22b6ec2fa.jpg,16.80595717,105.3697947,139.4,5ygjpc9dt,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/6136a25b-767b-41ba-b72d-aee6d1c6b999.jpg
291127,12-09-2014 03:09:47 UTC,_____,0:16:47,Atsaphone,Kumban 1,"13-01-005-???? ??????-""Nongbua",,Ground / Spring,Dug Well,,Loose rope/ stick,,No,,,https://akvoflow-34.s3.amazonaws.com/images/fef277ea-c7af-454a-9b90-fdea9e985649.jpg,Yes,Works well,5,4,5,Community,Yes,,Community,Community,Community,>20,Community,Community box,________________,https://akvoflow-34.s3.amazonaws.com/images/098944c3-1f6c-49e4-8515-f83be0b7b951.jpg,16.8831332,105.3241269,135.2,5zg04bi61,No functionality,Met,Not met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/fef277ea-c7af-454a-9b90-fdea9e985649.jpg
291185,12-09-2014 07:02:54 UTC,_____,0:13:27,Atsaphone,Judsumphonengarm,"13-XX-026-??????-""Phonphaeng",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/17c6fd27-f9a0-4b5b-8b2c-1a44dd656b2f.jpg,No,Doesn't work,,4,7,Community,No,Not working,Community,International NGO,International NGO,< 5,Community,,______,https://akvoflow-34.s3.amazonaws.com/images/6e8d96f3-2b59-4fe5-a7f2-b6cfe9e59457.jpg,16.8922191,105.2185837,150.6,5zk6abe6x,No functionality,Not met,Met,NA,NA,https://akvoflow-34.s3.amazonaws.com/images/17c6fd27-f9a0-4b5b-8b2c-1a44dd656b2f.jpg
291237,12-09-2014 03:01:37 UTC,___ _______,0:10:26,Atsaphone,Judsumnapord,"13-XX-045-???? ?????-""Nanhorn",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/3a1f23c9-778a-45a3-8826-d86dafd37773.jpg,Yes,Works well,25,5,4,Community,Yes,,Community,International NGO,International NGO,< 5,Community,When break down,________ ___ __,https://akvoflow-34.s3.amazonaws.com/images/dd85acbf-01b3-4e2f-9123-63988ad833b6.jpg,16.93044571,105.4891519,180.1,601qjh12j,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/3a1f23c9-778a-45a3-8826-d86dafd37773.jpg
291279,12-09-2014 04:02:54 UTC,___ _______,0:08:46,Atsaphone,Judsumnapord,"13-XX-045-???? ?????-""Nanhorn",,Ground / Spring,Dug Well,,Loose rope/ stick,,No,,,https://akvoflow-34.s3.amazonaws.com/images/d4bbcb7b-bec7-4f79-a54c-971f946cfc31.jpg,Yes,Works well,9,7,2,Community,Yes,,Community,Community,Community,>20,Community,No payment,_____ ___ ____,https://akvoflow-34.s3.amazonaws.com/images/8802054f-c77e-4f65-9cb5-7575355de255.jpg,16.92965358,105.4860758,172.2,601dh4l58,No functionality,Met,Not met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/d4bbcb7b-bec7-4f79-a54c-971f946cfc31.jpg
291286,12-09-2014 04:05:36 UTC,___ _______,0:13:01,Atsaphone,Judsumnapord,"13-XX-045-???? ?????-""Nanhorn",,Ground / Spring,Dug Well,,Loose rope/ stick,,No,,,https://akvoflow-34.s3.amazonaws.com/images/62b679a7-c711-43c2-b31c-64d7dae47f46.jpg,Yes,Works well,8,7,2,Community,Yes,,Community,Community,Community,>20,Community,No payment,_____ ___ ____,https://akvoflow-34.s3.amazonaws.com/images/1e244f35-2e62-48f1-b78f-7eab166b0568.jpg,16.9322999,105.4866446,144.6,602l4wy6q,No functionality,Met,Not met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/62b679a7-c711-43c2-b31c-64d7dae47f46.jpg
291367,12-09-2014 09:22:45 UTC,_.______ __________,0:12:01,Atsaphone,Judsumnalaw,"13-XX-052-???? ?????-""Viengxai",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/da0efd97-5686-4b91-8889-5ba416f612e2.jpg,Yes,Not well,32,5,7,Community,Yes,,Community,International NGO,International NGO,5 to 10,Community,Community box,___ ____ _____,https://akvoflow-34.s3.amazonaws.com/images/08fe3490-02b0-470b-89cb-1efd6028c692.jpg,16.8799711,105.4618336,124.6,5zejuxrmi,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/da0efd97-5686-4b91-8889-5ba416f612e2.jpg
291385,12-09-2014 03:21:11 UTC,_. ________   _. _____,0:10:42,Atsaphone,Judsumnalaw,"13-XX-059-???? ??????????-""Singsavang",,Ground / Spring,Dug Well,,Loose rope/ stick,,No,,,https://akvoflow-34.s3.amazonaws.com/images/222f829f-400c-4551-89a4-28cab20d355e.jpg,Yes,Works well,6,9,8,Community,Yes,,Community,Community,Community,>20,Community,No payment,______,https://akvoflow-34.s3.amazonaws.com/images/d2c56758-5dc0-417a-befa-cadce9dc6024.jpg,16.77444,105.4739739,179.2,5y22f5aj7,No functionality,Met,Not met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/222f829f-400c-4551-89a4-28cab20d355e.jpg
291406,12-09-2014 09:29:31 UTC,_.______ __________,0:08:19,Atsaphone,Judsumnalaw,"13-XX-052-???? ?????-""Viengxai",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/da208ac5-f941-4c93-87cb-214161271404.jpg,Yes,Not well,28,5,6,Community,Yes,,Community,International NGO,International NGO,10 to 20,Community,No payment,________ ________,https://akvoflow-34.s3.amazonaws.com/images/5227cc30-bcf1-4a79-b06e-04000f586110.jpg,16.88099091,105.4630935,164.4,5zf0q7wo6,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/da208ac5-f941-4c93-87cb-214161271404.jpg
